Mass1_kg,Mass2_kg,Distance_m,Gravitational_Force_N
375165.57872851513,673030.2912146891,6482.921283824143,4.0097917976835573e-07
950763.5921035062,796884.715794181,1724.6912346895572,1.700008337207194e-05
732261.9478695937,251217.43089370648,8724.073238984794,1.6131819515496852e-07
599059.8257128396,625249.225507392,6131.549274453346,6.649494582413463e-07
156862.62180199407,572174.2371606049,1572.8816316859854,2.4213714144392925e-06
156838.52581586645,832997.5464114829,9623.418236754587,9.415501910955782e-08
59025.52855603126,906180.9734207792,5184.136267889871,1.3283353499411552e-07
866309.9696291602,13144.61470590942,729.9116202646784,1.426547842223555e-06
601513.8967314656,674345.8991397339,6268.702211246257,6.889359228674671e-07
708364.5052182494,52783.96332060929,2532.7358712210894,3.890314472304061e-07
21563.909801506645,549309.8064122786,8037.130825321147,1.2239072492218387e-08
969939.9423098323,288345.09631463455,8178.40291358834,2.790783410751285e-07
832610.1981596213,307469.82292261906,9789.494611190765,1.7829099311283526e-07
213126.77156759787,353605.5449489042,5019.1934407140125,1.9966177561401914e-07
182643.14223989352,621671.1566005605,4550.113840397644,3.6603725259787916e-07
184221.1053435804,334715.91570310044,7535.002578859359,7.248608773448149e-08
304938.00071657816,732966.3515396902,1325.5740927629238,8.489718591496065e-06
525231.6752006055,405122.8581882958,5469.608222417449,4.747127992772599e-07
432513.07362347364,69284.84710964866,5462.9297537083785,6.701808190386818e-08
291937.9110578439,783976.0826416231,895.6417549810618,1.904278082110533e-05
612241.0418276571,286472.5662681133,4180.422870983629,6.69839526781578e-07
140354.3667913898,433334.11271966336,8532.994700873453,5.575086110657291e-08
292852.5038866829,685758.4393386797,8561.680066324609,1.828554193288094e-07
366995.481450398,333123.7009915633,993.2774115318904,8.270482658513848e-06
456613.9142328189,57529.070490568905,908.1181065955607,2.1259720581069507e-06
785390.7854316205,374547.1259658008,2627.692074542351,2.8434726271555355e-06
200474.1083762014,944504.1341116091,8747.78585947738,1.6514734304034631e-07
514720.203975198,642092.6629012596,1289.896948149916,1.325759098130172e-05
592822.1542931804,671807.6695185397,7200.248029471835,5.127199219712889e-07
47403.962307277725,632649.8714840022,1012.5550305114191,1.9522998488772993e-06
607937.307049537,199793.14682047736,6231.755399624506,2.0874895446268974e-07
171353.59956360425,418915.53023817786,3561.3169238923288,3.777497360412959e-07
65986.54139229424,751188.858564955,7889.350715695704,5.31529902745772e-08
948936.6517160799,102271.52465560599,2337.6707978048107,1.185307334869788e-06
965666.4010414848,278574.92331362254,6392.379092070209,4.3938964683330557e-07
808588.9507683447,277042.78935738775,2357.5896632242734,2.6899483424443426e-06
305309.15540419734,432586.9086669115,7136.889170838425,1.7306172112409103e-07
98574.44189237748,980388.3722012428,8736.906667572926,8.449924129377275e-08
684548.7934856447,68435.04413713812,1268.8911894684736,1.9419583937168753e-06
440712.3412458617,519182.2933862144,8666.09029026644,2.0334541726213367e-07
122916.19660993405,180185.31733019825,5936.158968888565,4.194915244241236e-08
495681.73320115893,970705.8688643344,1271.9777981793727,1.9848936015110872e-05
35354.132594103176,114190.20122273674,4275.99101174176,1.4736731845713454e-08
909411.0816767033,404197.40135922964,1609.442074557494,9.471282303809672e-06
259521.2016184169,738147.0998497716,7003.778540776829,2.606493668436526e-07
662859.762069628,704849.8735994179,7588.922476045079,5.414567519915632e-07
312399.36501332157,423305.90825703833,1058.8594062077168,7.87215430638541e-06
520547.953156633,347177.6437847655,5061.892387093749,4.7075224737577426e-07
547163.5690639364,398214.7661743177,8146.435935203146,2.1913157711336044e-07
185669.60107000152,265011.98689548066,9361.694252468415,3.747167784877446e-08
969615.043136794,206127.605768093,5135.665149550959,5.057639008610255e-07
775357.6905377534,483556.65786133107,9502.84195689046,2.771074339728011e-07
939559.4426226249,269265.2223115397,5357.354015589842,5.883145082410595e-07
894932.5230772211,288174.20323235285,3942.5107555044797,1.107402099012915e-06
598302.0788322741,657099.3074110826,8482.183082400403,3.64705204179098e-07
921952.3607880938,968568.7943681923,4930.334121870433,2.4518391391348305e-06
89404.00954986758,604033.5633588157,4719.553203134666,1.6181620756102516e-07
196786.87955672605,77902.48759790132,4903.634581608873,4.255170734971009e-08
46182.06162162753,76508.03024021292,8468.003233695585,3.2886982752999827e-09
326005.0004325011,951471.7976247204,8319.583475338834,2.99104356002987e-07
389288.61239979253,297993.4995170263,4035.7964044096716,4.75363372594822e-07
272077.68274212204,92974.91909639296,3333.6652988453798,1.5192192830580365e-07
828908.7716427774,599445.5425632312,4919.788312367254,1.370153932049159e-06
357396.57336689567,624025.1295119758,5728.152324861353,4.536585186413317e-07
281653.5751776934,648856.3152985695,2384.1337690693417,2.1458941194287685e-06
